Part,Link,Note,Estimate $,Quantity
ESP32,https://www.amazon.ca/dp/B0DFTKFWT2,"Main processor. Runs the pitch-detection DSP on one core and the display on the other, with PSRAM for the audio buffer and both I2S peripherals so the mic and amp run at once.",28.83,1
INMP441 I2S mic,https://www.amazon.ca/dp/B0C1C64R8S,"Captures the instrument for scale detection and tuning, with a digital output that avoids any analog front-end.",15.85,1
"GC9A01 1.28"" round display",https://www.amazon.ca/dp/B0CJ5X6RJN,"Shows the tonic, scale and sargam. The round format suits the tuner dial, taal cycle and circle-of-fifths views.",5.77,1
MAX98357A I2S amp,https://www.amazon.ca/dp/B0DPJRLMDJ,"Combines the DAC and amplifier in one part so the processor drives the drone and metronome click directly.",11.53,1
EC11 rotary encoder,https://www.amazon.ca/dp/B0C6Q67V97,"Sets the tempo, pitch and mode, coupled to the knurled bezel so the whole ring turns and can be adjusted by feel.",33.02,1
8 ohm 1W 28mm speaker,https://www.amazon.ca/dp/B019JMV0JY,"Reproduces the drone and click, sized to fit the 70mm enclosure.",7.21,1
Coin vibration motor,https://www.amazon.ca/dp/B01MTOOQD1,"Pulses the beat so the player feels time instead of hearing it, making the metronome usable in an ensemble or under headphones.",8.3,1
TP4056 USB-C charger,https://www.amazon.ca/dp/B09MJXV784,"Charges the cell over USB-C with over-charge, over-discharge and short-circuit protection.",9.37,1
3.7V 1000mAh LiPo,https://www.amazon.ca/dp/B0CNLPBM2L,"Gives about 8 hours of untethered use so the device works on a music stand rather than beside an outlet.",24.14,1
Jumper wires + breadboard,https://www.amazon.ca/dp/B07JKKNDHK,"Validate the full circuit and firmware before committing to a PCB, so design errors are caught while they cost nothing.",18.73,1
,,,Total: ~$162.75 USD,Total items: 10
